DATA INICIAL;DATA FINAL;REGIÃO;ESTADO;PRODUTO;PREÇO MÉDIO REVENDA
18/09/2016;24/09/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,610
25/09/2016;01/10/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,587
02/10/2016;08/10/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,596
09/10/2016;15/10/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,611
16/10/2016;22/10/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,614
23/10/2016;29/10/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,688
30/10/2016;05/11/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,662
06/11/2016;12/11/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,702
13/11/2016;19/11/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,692
20/11/2016;26/11/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,607
27/11/2016;03/12/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,618
04/12/2016;10/12/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,652
11/12/2016;17/12/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,654
18/12/2016;24/12/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,640
25/12/2016;31/12/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,605
01/01/2017;07/01/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,552
08/01/2017;14/01/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,487
15/01/2017;21/01/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,492
22/01/2017;28/01/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,501
29/01/2017;04/02/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,495
05/02/2017;11/02/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,453
12/02/2017;18/02/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,429
19/02/2017;25/02/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,437
26/02/2017;04/03/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,442
05/03/2017;11/03/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,411
12/03/2017;18/03/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,412
19/03/2017;25/03/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,391
26/03/2017;01/04/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,524
02/04/2017;08/04/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,611
09/04/2017;15/04/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,611
16/04/2017;22/04/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,604
23/04/2017;29/04/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,610
30/04/2017;06/05/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,599
07/05/2017;13/05/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,605
14/05/2017;20/05/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,610
21/05/2017;27/05/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,583
28/05/2017;03/06/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,591
04/06/2017;10/06/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,547
11/06/2017;17/06/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,538
18/06/2017;24/06/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,515
25/06/2017;01/07/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,488
02/07/2017;08/07/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,418
09/07/2017;15/07/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,392
16/07/2017;22/07/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,343
23/07/2017;29/07/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,666
30/07/2017;05/08/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,706
06/08/2017;12/08/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,900
13/08/2017;19/08/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,899
20/08/2017;26/08/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,890
27/08/2017;02/09/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,888
03/09/2017;09/09/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,913
10/09/2017;16/09/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,893
17/09/2017;23/09/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,926
24/09/2017;30/09/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,901
01/10/2017;07/10/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,859
08/10/2017;14/10/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,788
15/10/2017;21/10/2017;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,772
